FREQ,TIME_FORMAT,TIME_PERIOD,GEO,UNIT,ISCED11,SEX,AGE,OBS_STATUS,OBS_VALUE,FREQ_DESC,TIME_FORMAT_DESC,TIME_PERIOD_DESC,OBS_STATUS_DESC,GEO_DESC,UNIT_DESC,ISCED11_DESC,SEX_DESC,AGE_DESC
A,P1Y,2010,SE,PC,TOTAL,F,Y15-74,,8.5,Annual,Annual,Year 2010,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,SE,PC,TOTAL,F,Y15-74,,7.8,Annual,Annual,Year 2011,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,SE,PC,TOTAL,F,Y15-74,,7.7,Annual,Annual,Year 2012,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,SE,PC,TOTAL,F,Y15-74,,7.9,Annual,Annual,Year 2013,No data,Sweden,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,SI,PC,TOTAL,F,Y15-74,,7.1,Annual,Annual,Year 2000,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,SI,PC,TOTAL,F,Y15-74,,6,Annual,Annual,Year 2001,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,SI,PC,TOTAL,F,Y15-74,,6.3,Annual,Annual,Year 2002,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2003,SI,PC,TOTAL,F,Y15-74,,7,Annual,Annual,Year 2003,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,SI,PC,TOTAL,F,Y15-74,,6.4,Annual,Annual,Year 2004,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,SI,PC,TOTAL,F,Y15-74,,7.2,Annual,Annual,Year 2006,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,SI,PC,TOTAL,F,Y15-74,,5.9,Annual,Annual,Year 2007,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,SI,PC,TOTAL,F,Y15-74,,4.8,Annual,Annual,Year 2008,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,SI,PC,TOTAL,F,Y15-74,,5.8,Annual,Annual,Year 2009,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,SI,PC,TOTAL,F,Y15-74,,7.1,Annual,Annual,Year 2010,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,SI,PC,TOTAL,F,Y15-74,,8.2,Annual,Annual,Year 2011,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,SI,PC,TOTAL,F,Y15-74,,9.4,Annual,Annual,Year 2012,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,SI,PC,TOTAL,F,Y15-74,,10.9,Annual,Annual,Year 2013,No data,Slovenia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,SK,PC,TOTAL,F,Y15-74,,18.6,Annual,Annual,Year 2000,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,SK,PC,TOTAL,F,Y15-74,,18.6,Annual,Annual,Year 2001,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,SK,PC,TOTAL,F,Y15-74,,18.8,Annual,Annual,Year 2002,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,SK,PC,TOTAL,F,Y15-74,,19.6,Annual,Annual,Year 2004,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,SK,PC,TOTAL,F,Y15-74,,14.7,Annual,Annual,Year 2006,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,SK,PC,TOTAL,F,Y15-74,,12.7,Annual,Annual,Year 2007,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,SK,PC,TOTAL,F,Y15-74,,10.9,Annual,Annual,Year 2008,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,EE,PC,ED3_4,F,Y15-74,b,14.7,Annual,Annual,Year 2000,break in time series,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2001,EE,PC,ED3_4,F,Y15-74,,16.4,Annual,Annual,Year 2001,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2002,EE,PC,ED3_4,F,Y15-74,,9.8,Annual,Annual,Year 2002,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2003,EE,PC,ED3_4,F,Y15-74,,11.8,Annual,Annual,Year 2003,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2004,EE,PC,ED3_4,F,Y15-74,,9.4,Annual,Annual,Year 2004,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2005,EE,PC,ED3_4,F,Y15-74,b,8.6,Annual,Annual,Year 2005,break in time series,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2006,EE,PC,ED3_4,F,Y15-74,,6.5,Annual,Annual,Year 2006,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2007,EE,PC,ED3_4,F,Y15-74,,4.2,Annual,Annual,Year 2007,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2008,EE,PC,ED3_4,F,Y15-74,,5.8,Annual,Annual,Year 2008,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2009,EE,PC,ED3_4,F,Y15-74,,12.4,Annual,Annual,Year 2009,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2010,EE,PC,ED3_4,F,Y15-74,,18.8,Annual,Annual,Year 2010,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2011,EE,PC,ED3_4,F,Y15-74,,13,Annual,Annual,Year 2011,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2012,EE,PC,ED3_4,F,Y15-74,,10.5,Annual,Annual,Year 2012,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2013,EE,PC,ED3_4,F,Y15-74,,9.9,Annual,Annual,Year 2013,No data,Estonia,Percentage,Upper secondary and post-secondary non-tertiary education (levels 3 and 4),Females,From 15 to 74 years
A,P1Y,2000,FR,PC,TOTAL,F,Y15-74,,12.2,Annual,Annual,Year 2000,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,FR,PC,TOTAL,F,Y15-74,,10.5,Annual,Annual,Year 2001,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,FR,PC,TOTAL,F,Y15-74,,9.8,Annual,Annual,Year 2002,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,FR,PC,TOTAL,F,Y15-74,,9.9,Annual,Annual,Year 2004,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,FR,PC,TOTAL,F,Y15-74,,9.1,Annual,Annual,Year 2006,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,FR,PC,TOTAL,F,Y15-74,,8.1,Annual,Annual,Year 2007,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,FR,PC,TOTAL,F,Y15-74,,7.4,Annual,Annual,Year 2008,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,FR,PC,TOTAL,F,Y15-74,,8.8,Annual,Annual,Year 2009,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,FR,PC,TOTAL,F,Y15-74,,9.1,Annual,Annual,Year 2010,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,FR,PC,TOTAL,F,Y15-74,,9.1,Annual,Annual,Year 2011,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,FR,PC,TOTAL,F,Y15-74,,9.4,Annual,Annual,Year 2012,No data,France,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,HR,PC,TOTAL,F,Y15-74,,17.3,Annual,Annual,Year 2002,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,HR,PC,TOTAL,F,Y15-74,,15.4,Annual,Annual,Year 2004,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,HR,PC,TOTAL,F,Y15-74,,11.4,Annual,Annual,Year 2007,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,SK,PC,TOTAL,F,Y15-74,,12.8,Annual,Annual,Year 2009,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,SK,PC,TOTAL,F,Y15-74,,14.6,Annual,Annual,Year 2010,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,SK,PC,TOTAL,F,Y15-74,,14.5,Annual,Annual,Year 2012,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,SK,PC,TOTAL,F,Y15-74,,14.5,Annual,Annual,Year 2013,No data,Slovakia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,HR,PC,TOTAL,F,Y15-74,,10.4,Annual,Annual,Year 2008,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,HR,PC,TOTAL,F,Y15-74,,10.7,Annual,Annual,Year 2009,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,HR,PC,TOTAL,F,Y15-74,,13.8,Annual,Annual,Year 2011,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,HR,PC,TOTAL,F,Y15-74,,16.1,Annual,Annual,Year 2012,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,HR,PC,TOTAL,F,Y15-74,,16.8,Annual,Annual,Year 2013,No data,Croatia,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,HU,PC,TOTAL,F,Y15-74,,5.8,Annual,Annual,Year 2000,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,HU,PC,TOTAL,F,Y15-74,,5.1,Annual,Annual,Year 2002,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2003,HU,PC,TOTAL,F,Y15-74,,5.4,Annual,Annual,Year 2003,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,HU,PC,TOTAL,F,Y15-74,,5.9,Annual,Annual,Year 2004,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,HU,PC,TOTAL,F,Y15-74,,7.9,Annual,Annual,Year 2006,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,HU,PC,TOTAL,F,Y15-74,,7.7,Annual,Annual,Year 2007,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,HU,PC,TOTAL,F,Y15-74,,8,Annual,Annual,Year 2008,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,HU,PC,TOTAL,F,Y15-74,,9.7,Annual,Annual,Year 2009,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,HU,PC,TOTAL,F,Y15-74,,10.7,Annual,Annual,Year 2010,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,HU,PC,TOTAL,F,Y15-74,,11,Annual,Annual,Year 2011,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,HU,PC,TOTAL,F,Y15-74,,10.6,Annual,Annual,Year 2012,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2013,HU,PC,TOTAL,F,Y15-74,,10.1,Annual,Annual,Year 2013,No data,Hungary,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2000,IE,PC,TOTAL,F,Y15-74,,4.3,Annual,Annual,Year 2000,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,IE,PC,TOTAL,F,Y15-74,,3.6,Annual,Annual,Year 2001,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,IE,PC,TOTAL,F,Y15-74,,3.8,Annual,Annual,Year 2002,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2003,IE,PC,TOTAL,F,Y15-74,,4,Annual,Annual,Year 2003,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2004,IE,PC,TOTAL,F,Y15-74,,3.8,Annual,Annual,Year 2004,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,IE,PC,TOTAL,F,Y15-74,,4.2,Annual,Annual,Year 2006,No data,Ireland,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,BG,PC,ED5-8,F,Y15-74,,8.7,Annual,Annual,Year 2002,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2003,BG,PC,ED5-8,F,Y15-74,b,7.4,Annual,Annual,Year 2003,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2004,BG,PC,ED5-8,F,Y15-74,,6.2,Annual,Annual,Year 2004,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2005,BG,PC,ED5-8,F,Y15-74,b,4.2,Annual,Annual,Year 2005,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2006,BG,PC,ED5-8,F,Y15-74,b,4.1,Annual,Annual,Year 2006,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2007,BG,PC,ED5-8,F,Y15-74,,2.5,Annual,Annual,Year 2007,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2008,BG,PC,ED5-8,F,Y15-74,b,2.5,Annual,Annual,Year 2008,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2009,BG,PC,ED5-8,F,Y15-74,,3,Annual,Annual,Year 2009,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2010,BG,PC,ED5-8,F,Y15-74,b,4.5,Annual,Annual,Year 2010,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2011,BG,PC,ED5-8,F,Y15-74,b,5,Annual,Annual,Year 2011,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2012,BG,PC,ED5-8,F,Y15-74,,5.5,Annual,Annual,Year 2012,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2013,BG,PC,ED5-8,F,Y15-74,,6.4,Annual,Annual,Year 2013,No data,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2014,BG,PC,ED5-8,F,Y15-74,b,4.8,Annual,Annual,Year 2014,break in time series,Bulgaria,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2000,CY,PC,ED5-8,F,Y15-74,u,3.6,Annual,Annual,Year 2000,low reliability,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2001,CY,PC,ED5-8,F,Y15-74,,4.1,Annual,Annual,Year 2001,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2002,CY,PC,ED5-8,F,Y15-74,,3,Annual,Annual,Year 2002,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2003,CY,PC,ED5-8,F,Y15-74,,4.6,Annual,Annual,Year 2003,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2004,CY,PC,ED5-8,F,Y15-74,,3.9,Annual,Annual,Year 2004,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2005,CY,PC,ED5-8,F,Y15-74,b,5.6,Annual,Annual,Year 2005,break in time series,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2000,IT,PC,TOTAL,F,Y15-74,,14.9,Annual,Annual,Year 2000,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2001,IT,PC,TOTAL,F,Y15-74,,13.1,Annual,Annual,Year 2001,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2002,IT,PC,TOTAL,F,Y15-74,,12.6,Annual,Annual,Year 2002,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2003,IT,PC,TOTAL,F,Y15-74,,12,Annual,Annual,Year 2003,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,IT,PC,TOTAL,F,Y15-74,,8.8,Annual,Annual,Year 2006,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2007,IT,PC,TOTAL,F,Y15-74,,7.8,Annual,Annual,Year 2007,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2008,IT,PC,TOTAL,F,Y15-74,,8.5,Annual,Annual,Year 2008,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2009,IT,PC,TOTAL,F,Y15-74,,9.2,Annual,Annual,Year 2009,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2010,IT,PC,TOTAL,F,Y15-74,,9.6,Annual,Annual,Year 2010,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2011,IT,PC,TOTAL,F,Y15-74,,9.6,Annual,Annual,Year 2011,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2012,IT,PC,TOTAL,F,Y15-74,,11.8,Annual,Annual,Year 2012,No data,Italy,Percentage,All ISCED 2011 levels ,Females,From 15 to 74 years
A,P1Y,2006,CY,PC,ED5-8,F,Y15-74,,5.3,Annual,Annual,Year 2006,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2007,CY,PC,ED5-8,F,Y15-74,,4.3,Annual,Annual,Year 2007,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2008,CY,PC,ED5-8,F,Y15-74,,3.4,Annual,Annual,Year 2008,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2009,CY,PC,ED5-8,F,Y15-74,b,5.3,Annual,Annual,Year 2009,break in time series,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2010,CY,PC,ED5-8,F,Y15-74,,6.6,Annual,Annual,Year 2010,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2011,CY,PC,ED5-8,F,Y15-74,,7.6,Annual,Annual,Year 2011,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2012,CY,PC,ED5-8,F,Y15-74,,11.5,Annual,Annual,Year 2012,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2013,CY,PC,ED5-8,F,Y15-74,,14.4,Annual,Annual,Year 2013,No data,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2014,CY,PC,ED5-8,F,Y15-74,b,14.1,Annual,Annual,Year 2014,break in time series,Cyprus,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2000,CZ,PC,ED5-8,F,Y15-74,,4,Annual,Annual,Year 2000,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2001,CZ,PC,ED5-8,F,Y15-74,,3.3,Annual,Annual,Year 2001,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2002,CZ,PC,ED5-8,F,Y15-74,,1.8,Annual,Annual,Year 2002,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2003,CZ,PC,ED5-8,F,Y15-74,b,2.4,Annual,Annual,Year 2003,break in time series,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2004,CZ,PC,ED5-8,F,Y15-74,,2.1,Annual,Annual,Year 2004,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2005,CZ,PC,ED5-8,F,Y15-74,b,2.7,Annual,Annual,Year 2005,break in time series,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2006,CZ,PC,ED5-8,F,Y15-74,,2.8,Annual,Annual,Year 2006,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2007,CZ,PC,ED5-8,F,Y15-74,,1.7,Annual,Annual,Year 2007,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2008,CZ,PC,ED5-8,F,Y15-74,,1.8,Annual,Annual,Year 2008,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
A,P1Y,2009,CZ,PC,ED5-8,F,Y15-74,,2.3,Annual,Annual,Year 2009,No data,Czechia,Percentage,Tertiary education (levels 5-8),Females,From 15 to 74 years
